Startup Name,Startup URL,Logo URL,Description,Industry
cnergyis,,http://www.mumbaiangels.com//userfiles/image/Cnergyis-logo.jpg,"                Cnergyis integrates Manpower Planning, Recruitment, Time and Attendance, Payroll, Performance Management & e-Separation - One stop solution for all your employee Life cycle management needs.y.", Service
carveniche,,http://www.mumbaiangels.com//userfiles/image/carveniche-logo.jpg,"CarveNiche Technologies is a fast growing Education Technology Company based in Bangalore, India. We offer products and services for K-12, Higher Education, Corporate, Government, Publishing Houses and Training Institutes. Our products are aimed at bringing the best practices in pedagogy together with the latest technology to engage learners, improve learning outcomes and achieve excellence in education.",Education
Canvera,,http://www.mumbaiangels.com//userfiles/image/canvera-logo.jpg,"Canvera is a team of professionals with vast experience in Digital Imaging, Internet Technologies, Marketing & Manufacturing that have previously worked in nearly every corner of the world. We have come together with a singular passion to create one of the world's best Digital Imaging products and services companies.", IT
brandidea,#,,"BrandIdea is a unique software application which combines voluminous datasets, location intelligence and data visualization tools to not just unearth data but drive information & insights across 4 key components – Market Potential, Distribution, Sales & Media for any geographical area in India.", Service
AtYourPrice,http://www.atyourprice.in/yourprice/aboutusprice.php,http://www.mumbaiangels.com//userfiles/image/at-your-price.jpg,www.atyourprice.in is a wholly owned portal of Infiniti Software Solutions Private Limited. Our company is driven by a passionate group of entrepreneurial-professionals having many years of experience in revenue management with outstanding IT know-how to develop innovative products., IT
asiatic clinical,http://www.asiaticlinical.com/,http://www.mumbaiangels.com//userfiles/image/Asiatic-logo.jpg,"Asiatic Clinical Research is a full service clinical research organization (CRO) headquartered in Bangalore, India. We focus on Phase II - IV clinical trial support to pharmaceutical, biotechnology and medical device companies.",Healthcare
apalya technologies,,http://www.mumbaiangels.com//userfiles/image/Apalya-logo.jpg,"Apalya Technologies Private Limited was formed in 2005 to take advantage of the 
              growing demand for Live Television, events and video on demand in the mobile space.                In a short span of time Apalya emerged to be India’s leading managed service provider                of video streaming to all the leading Telecom Operators, Handset manufacturers and                content owners throughout India and now in Sri Lanka & Indonesia.", Telecom
algorhythm tech,http://www.algorhythm.co.in/,http://www.mumbaiangels.com//userfiles/image/algo-rhythm-logo.jpg,"Algorhythm is a focused player in the Supply Chain domain with special expertise in processes of the Steel, Consumer and Other Industry Sectors. Algorhythm Solutions form the core of Supply Chains of several Business Leaders in Industries like Metal, Consumer Industries, Oil, Packaging etc. Algorhythm works with end customers to provide turnkey optimization and execution solutions.", IT
aiocd pharmasofttech AWACS,,http://www.mumbaiangels.com//userfiles/image/aiocd-awacs-logo.jpg,AIOCD Pharmasofttech AWACS Pvt. Ltd. is a pharmaceutical market research company formed by All Indian Origin Chemists & Distributors Ltd. (AIOCD Ltd) in a joint venture with Trikaal Mediinfotech Pvt. Ltd. AIOCD Ltd. is a corporate pharma retail chain set up by 5.5 Lac members of AIOCD., IT
Insta Health solutions,http://www.instahealthsolutions.com/,http://www.mumbaiangels.com//userfiles/image/Insta-health-solutions-logo.jpg,"Insta Health is one of the most trusted and recognized hospital management systems and EMR software solution provider in the health care sector. Insta Health provides cloud based and local server based solutions to hospitals to automate their key processes - clinical, financial, operational and management processes.", IT
inmobi,,http://www.mumbaiangels.com//userfiles/image/InMobi_Logo.gif,"InMobi, one of the fastest growing global mobile advertising network, delivers the 
              best results to its partners through its intelligent mobile advertising solutions.                The advanced technology enables advertisers to discover their target audience on                mobile internet sites in a measurable manner. Publishers can leverage the capability                to serve contextual ads to the users of their sites, thereby increasing the value of                their mobile property. InMobi’s vast reach coupled with the precision of the mobile 
                medium provides the optimal platform for advertisers and publishers to take advantage                of mobile advertising.", Telecom
hotelogix,http://www.hotelogix.com/,http://www.mumbaiangels.com//userfiles/image/Hotellogix-logo.jpg,"HMS InfoTech brings you a decisive edge through Hotelogix, an 'Easy to Adapt & Simple to use' solution that offers all that you might ever need as a Hotel Management Software to run your Hospitality Business smoothly.", IT
exotel,http://exotel.in/,http://www.mumbaiangels.com//userfiles/image/Exotel-logo-256.jpg,"Exotel was started with a pain point – how do you manage customers on inbound voice and sms without getting into the hassles of a full fledged call centre, or having to be bound to a given phone?", Telecom
Excusively,,http://www.mumbaiangels.com//userfiles/image/Exclusively-logo.jpg,"Exclusively.in is the world class destination for the Indian-inspired luxury lifestyle. We bring you unprecedented access to the best in Indian-inspired apparel, jewelry and accessories. Our hand-curated selections are chosen for their styling and quality. Consider this your passport to all that is Indo-chic.",e-Commerce
,,http://www.mumbaiangels.com/images/portfolio_agri_eFarm.jpg,"eFarm is a young social enterprise firm based in Chennai . efarm is India’s first end-to-end Agriculture supply chain platform , providing a combination of technology solutions and on-ground distribution mechanism to enable farmers reach end markets in an effective manner. eFarm ties in farmers, intermediaries, logistics providers, distributors,small time retailers, all the way upto your local road side vendor into a single chain backed up best of breed information systems to deliver fresh, clean,low priced farm produce.",Agriculture Sector 
eDreams,,http://www.mumbaiangels.com//userfiles/image/eDreams.jpg,"eDreams Edusoft Private Limited is a Bangalore based start-up working in K-12 education technology products space. Company so far has enrolled 30+ top schools in India as their co-creation partners, have 20+ schools as pipeline customers and  plan to take its' products to thousands of schools in a few years time.  The current set of schools that company is working with are from cities like Bangalore, Delhi, Hassan, Mangalore, Mysore, Shiomga and Hyderabad.",Education
dhama innovations,,http://www.mumbaiangels.com//userfiles/image/Dhama-Innovations-logo.jpg,"Dhama Innovations was founded by Kranthi Kiran Vistakula, while he was pursuing his Masters at the Massachusetts Institute of Technology, Boston. Kranthi was plagued by the most common problem faced by people the world over, that of coping with fluctuating weather & temperature extremes in different seasons.", Technology
DEXL,,http://www.mumbaiangels.com//userfiles/image/Dexl-logo.jpg,"DEXL is an embodiment of the ideology of noble professionals of the fields of formal and vocational education. It is an initiative of a group of academicians having a very long teaching experience at undergraduate to post-graduate level apart from IIT-JEE coaching at the institutes of repute. This group has taught thousands of students who qualified IIT-JEE, AIEEE, AIPMT & NTSE, Olympiads with top ranks in the last 10 years.",Education
Myntra,,http://www.mumbaiangels.com//userfiles/image/Myntra-logo.jpg,"Myntra.com is India’s largest online fashion and lifestyle store for men, women, and kids. Shop online from the latest collections of apparel, footwear and accessories, featuring the best brands. We are committed to delivering the best online shopping experience imaginable.",e-Commerce
m-tech Innovations,,http://www.mumbaiangels.com//userfiles/image/Mtec-logo.jpg,"We at M-Tech believe that Product Development and Innovation, holds key for our success. From being a manufacturer of Labels, Dials and Stickers two decades back, we are today one of the leading manufacturer in the country for Membrane Swtiches. An ultra- modern card manufacturing facility was commissioned in 1997 for Security Cards manufacturing.", Technology
mobStac,http://mobstac.com/,http://www.mumbaiangels.com//userfiles/image/Mobstac_logo.jpg,"MobStac's mission is to make it possible for people to consume the Internet on any 
              mobile device on the planet by accelerating the availability of mobile Internet                content and delivering it to the widest possible audience.", Telecom
mobiquest,,http://www.mumbaiangels.com//userfiles/mobiquest.gif,,
Mantra,,http://www.mumbaiangels.com//userfiles/image/Milk_mantra_logo.jpg,"We are a little company with some big ideas about offering natural, healthier milk products that help towards a healthier lifestyle.  And to do this, all we have to do is, use state of the art technology and the latest innovation in packaging, in a superbly hygienic processing plant, the quickest and most efficient way to get it delivered to your doorstep while at the same time better the lives of the farmer and leave everything a tad better than we found it!",Agriculture Sector
and entertainment madhouse,,http://www.mumbaiangels.com//userfiles/image/Madhouse-logo.jpg,"                We're India's largest movie rental service and we believe that the real magic of movies is in their power to get people together. Which is why we bring die-hard movie-lovers closer to over 20,000 original movies in 14 languages and from every genre. How? By offering free delivery and pick-up, not charging any late fee as well as with constant customer care, technical support and plenty of rewards..", Media and Entertainment
and entertainment level 10 comics,,http://www.mumbaiangels.com//userfiles/image/Level-10-comics-logo.jpg,"Level 10 Comics is a pioneering comic publishing company based out of Mumbai, India. It is India’s first comic publisher with properties targeted at the 18-30 male audience. Popular titles include Shaurya, Rabhas Incident, Daksh, Batu-Gaiden etc.", Media and Entertainment
karmic lifesciences,http://www.karmiclifesciences.com,http://www.mumbaiangels.com//userfiles/image/Karmic-logo.jpg,"Founded in 2005, Karmic Lifesciences is an ISO 9001:2008, ISO 27001:2005 certified and ICH-GCP compliant, full-service Contract Research Organization headquartered in India with global execution capabilities in the US, Europe and APAC.",Healthcare
ISSPL,http://www.isspl.in/index.htm,http://www.mumbaiangels.com//userfiles/image/Isspl-logo.jpg,"The Innovative Group started as of three separate companies - Innovative Systems, Innovative Solutions and Integrated Systems. All the three companies handle various aspects of the group’s major Audio, Video, Lighting and Systems Integration business.", Service
screampoint,,http://www.mumbaiangels.com//userfiles/image/Scream-point-logo.jpg,"Screampoint Holdings is the global leader in providing 3D/4D/5D Visual Information Solutions to city governments, real estate companies, and owners.   The company’s solutions include real-time Digital City information technologies and content as well as 3D Creative Services to government agencies and private sector real estate companies. Founded in 2000 as Screampoint LLC, the company has offices in San Francisco, Shanghai, Hong Kong, London, New York and New Delhi. In April, 2008 the company was acquired by Satellier, Inc. and merged with it to become Satellier-Screampoint.", IT
rolocule,,http://www.mumbaiangels.com//userfiles/image/Rolocule-logo.jpg,"Rolocule Games is an independent video game development studio dedicated in creating never seen before cool console quality video games for next generation platforms like smartphones and tablets through spunky innovation. We have created three gaming IP’s spanning across 7 games for the iPhone/iPod Touch and iPad. Our games include Touch Squash – A casual sports game, Super Badminton – World’s first badminton game and Flick Tennis College Wars – World’s first Tennis-RPG.",Gaming
reverse logistics,http://reverselogistics.in/index.asp,http://www.mumbaiangels.com//userfiles/image/Reverse-Logistics-logo.jpg,"RLC provides a one stop, technology enabled, comprehensive reverse supply chain solution. RLC understands that the power of reverse logistics is in data and so its solution’s backbone is its proprietary technology platform that provides end-to-end data visibility of the returned products from point of origin to its final disposition.", IT
onward mobility,,http://www.mumbaiangels.com//userfiles/image/Onward-mobility-logo.jpg,"Onward, is an FMCG model for the Digital world ! We create, distribute, and bring 
              relevance to you. From our own cutting-edge and state-of-the-art apps, to the entire                world of app developers, we sieve through all these millions and millions of apps                across all platforms, and offer those relevant apps that really make a sea-change to                your life. We sell our apps at thousands of shops across India, giving you a                convenient, engaging and refreshingly new way to experience and buy Mobile Apps.", Telecom
traffio,,http://www.mumbaiangels.com//userfiles/image/traffio.png,"                Traffio helps online stores increase revenue from facebook with social games. When fans play a Traffio-powered game on a store's facebook page, they are presented a series of in-game referral actions to earn more points. Based on their scores, fans win store-sponsored rewards. The higher the score, the bigger the reward. The rewards give fans a rebate on their purchase at this store. The referrals get their friends to join the game. 
              ", IT
nevis networks,,http://www.mumbaiangels.com//userfiles/image/Nevis-networks-logo.jpg,"Nevis Networks provides identity-based policy enforcement in the network fabric, controlling who can access a company’s network and what resources they are permitted to use, as well as containing the spread of the most sophisticated malware. Nevis’ LANenforcer security appliances provide integrated NAC, IPS and identity firewall capability.", IT
netElixir inc,http://www.netelixir.com/,http://www.mumbaiangels.com//userfiles/image/NetElixir-logo.jpg,NetElixir helps online marketers maximize opportunities presented by this evolving landscape. We adopt a multi-faceted method to the online customer acquisition process. Our approach is largely governed by 5 factors: , IT
speakwell,,http://www.mumbaiangels.com//userfiles/image/Speakwell-logo.jpg,"Speakwell enterprise is teamwork of all its franchisee partners who are obsessed with the company’s mission to create a society where English speaking capability can be harnessed by each and every individual to increase his/her potential to succeed in their professional and personal life. We seek to liberate the person from his inability to communicate in the corporate language of India, which is English. We believe everybody has a right to his/her share of success and lack of spoken English capability cannot be a hindrance to a man/woman’s capability to achieve it.",Education 
serial innovations,,http://www.mumbaiangels.com//userfiles/image/Serial-innovations-logo.jpg,"Serial Innovations designs, builds and deploys advanced imaging and electro-optics systems for defense and homeland security applications.", Technology
weareholiays,http://www.weareholidays.co.in/,http://www.mumbaiangels.com//userfiles/image/weareholidays.jpg,"www.weareholidays.co.in helps users plan experiential holidays effortlessly. It leverages technology to transform how travellers research, plan and buy their holidays. It is developing an artificial intelligent holiday recommender platform to create personalized holiday itineraries – incorporating everything from destinations to visit, accommodation, transport and transfers, things to do, places to see, meals and ancillaries like visa, travel insurance etc. based on the traveller(s) likes/dislikes, persona, past travel history, others travelling along, budget, occasion, social connections, browsing history, search intent etc.", e-Commerce
united mobile apps,,http://www.mumbaiangels.com//userfiles/image/Uma-logo.jpg,"United Mobile Apps, is a mobile / broadband / wireless technology company that 
              focusses on Connection Management (UConnect) / Device Management (UManage) and Data                Synchronization (USync) software.", Telecom
textual analytics solutions,,,, IT
talent bridge,,http://www.mumbaiangels.com//userfiles/image/Talent-bridge-logo.jpg,"Started by IIM/IIT/NIT alumni, TalentBridge is a social enterprise aiming to bridge the industry-academia gap by",Education 
svasti,,http://www.mumbaiangels.com//userfiles/image/Svasti-logo.jpg,"Svasti is an urban microfinance operation started in October 2008 to cater to the financial needs of the low income segment of society in Mumbai. Svasti started its operations by providing loans to Women Joint Liability Groups. In the near future, it aims to become a comprehensive financial service provider delivering customised loan products, facilitating savings and satisfying insurance needs of the people in the target segment.",Finance 
Squeakee,http://www.squeakee.com ,http://www.mumbaiangels.com/userfiles/image/SqueakeeLogo.png,"Squeakee is a revolutionary offline & online offers & specials search engine. As a platform Squeakee acts as a breakthrough intermediary technology for merchants to publish and consumers to discover offers & specials. Whether you are a mom-n-pop store or a retail chain or a national/international brand you can leverage Squeakee as a platform to flawlessly and innovatively display your offers and specials to obtain, engage, and retain customers. ", Telecom
Primaseller,,http://www.mumbaiangels.com//userfiles/image/final.png,"Primaseller's vision is committed to helping small and medium retailers across India in their journey to success. We build technology that enables them to streamline their operations across multiple channels and helps them discover and manage new channels of sales.

Started in 2013 in Delhi by a one-man team, Primaseller has now grown rapidly to a diverse team of more than 10 out of Bangalore and is already making commerce for its customers simpler, faster and much more efficient - helping them sell more, sell better.",e-Commerce
zipdial,http://zipdial.com/corp/,http://www.mumbaiangels.com//userfiles/image/Zipdial-logo.jpg,"ZipDial Mobile Solutions Pvt Ltd is a Bangalore-based company founded by three 
              technology entrepreneurs with degrees from top global universities and graduate                schools as well as extensive professional leadership experience in both India and the                US, including companies like mChek, Zapak.com, eBay, Ketera and Xerox.", Telecom
yogasmoga,,http://www.mumbaiangels.com//userfiles/image/thumbnails_Yogasmoga.png,"YOGASMOGA™ is a designer, manufacturer and retailer of Yoga inspired athletic apparel and accessories. The company’s yoga apparel is both fashionable and sporty in nature and has roots in the rapidly growing Yoga movement. YOGASMOGA™ develops fiber-to-consumer technological solutions to deliver proprietary high performance fabric and athletic gear.", E-Commerce
the wild east group,,http://www.mumbaiangels.com//userfiles/image/thumbnails_wild.jpg, , Service
idubba,,http://www.mumbaiangels.com//userfiles/image/idubba.jpg,idubba tries to solve problems of millions of TV viewers who are clueless about the shows which are running over TV at any point in time., Technology
intellocut,,http://www.mumbaiangels.com//userfiles/image/intellocut.png,"IntelloCut is an intelligent material planning and optimization software. IntelloCut measures, predicts and optimizes material utilization and productivity for sewn products industry (apparel, footwear, automotive, home furnishing, technical textiles etc.) IntelloCut snaps into the various processes of buying, cutting and using of material of the manufacturing units and improves utilization, reduces wastage, increases productivity and improves estimation accuracy.", Technology
adsparx,,http://www.mumbaiangels.com//userfiles/image/adsparx.png,"AdSparx caters to the Internet Video publishers and drastically reduces their time-to-market, with its ease of integration and device agnostic solution. AdSparx uses Ad Networks and Exchanges to enable Ad sales and achieve higher revenues for the Publisher’s inventory. AdSparx enables monetization for Linear TV, Live Events and On-demand Videos delivered through the Internet by the use of targeted, in-stream Video Ads.", Technology
allizhealth,,http://www.mumbaiangels.com//userfiles/image/allizhealth-logo.jpg,"AllizHealth, a healthcare technology venture is in the space of preventive care. It is building a health management platform which would help in early identification of health risks and provides users various options to track and mitigate such risks. Based out of Pune, AllizHealth is currently working with several leading insurance and healthcare providers to  push its platform.",Healthcare
pickme,,,, Service
